50 Cent
Benedict Cumberbatch
Benicio del Toro
Benjamin Caillaud
Benjamin Walker
Benoît Le Pennec
Benoit Touchette
Bérénice Marlohe
Berkay Ak?n
Bernadette Peters
Bernard Hill
Bernard Lee
Bernard Murat
Berry Kroeger
Beth Behrs
Beth Fowler
Beth Morris
Betsy Magruder
Bette Midler
Betty Furness
Beverly D'Angelo
Bex Taylor-Klaus
Beyaz?t Öztürk
Beyoncé Knowles
Bharati Achrekar
Bibi Andersson
Bilge Sen
Bill Collage
Bill Hader
Bill McMahon
Bill Murray
Bill Nighy
Bill Paxton
Bill Pullman
Bill Smitrovich
Bill Tung
Billy Bletcher
Billy Bob Thornton
Billy Burke
Billy Campbell
Billy Connolly
Billy Crudup
Billy Rich
Billy West
Bilun Bilman
Bina Daigeler
Birgitte Hjort Sørensen
Bitsie Tulloch
Bjoern Susen
Björk
Björn Jörundur Friðbjörnsson
Blake Boyd
Blake Lively
Blythe Danner
Bob Bowersox
Bob Glouberman
Bob Gunton
Bob Kane
Bob Newhart
Bob Peterson
Bob Risk
Bobby Cannavale
Bobby Di Cicco
Bobby Wynn
Bojana Bambi?
Bonnie Hunt
Booboo Stewart
Boyd Holbrook
Brad Bird
Brad Dourif
Brad Garrett
Brad Koepenick
Brad Milburn
Brad Pitt
Brad William Henke
Bradley Cooper
Bran'dee Allen
Brando Eaton
Brandon Birtell
Brandon DeShazer
Brandon Routh
Brandon T. Jackson
Branka Puji?
Brant Daugherty
Brea Frazier
Breckin Meyer
Bree Turner
Brenda Blethyn
Brenda Song
Brendan Fraser
Brendan Gleeson
Brendan Meyer
Brenton Thwaites
Brett Berg
Brian Austin Wenrich
Brian Berdan
Brian Catalano
Brian Cox
Brian Cranstone
Brian Dennehy
Brian Geraghty
Brian King
Brian Thompson
Briana Evigan
Brianna Hildebrand
Brice Criswell
Bridget Fonda
Bridget Moynahan
Brie Larson
Brigitte Lin
Brigitte Nielsen
Britt Robertson
Brittany Murphy
Brittany Snow
Britten Kelley
Brody Wellmaker
Brooke Shields
Brooks Darnell
Bruce Boxleitner
Bruce Cabot
Bruce Campbell
Bruce Davison
Bruce Greenwood
Bruce Lawrence
Bruce Lee
Bruce Spence
Bruce Willis
Bruno Ganz
Bryan Cranston
Bryan Dolan
Bryan Singer
Bryce Burke
Bryce Dallas Howard
Bud Spencer
Bug Hall
Bülent Kayaba?
Bülent Üstün
Burak Özyilmaz
Burcu Gorun
Burcu Kiratli
Burgess Meredith
Burghart Klaußner
Burn Gorman
Burt Lancaster
Burt Reynolds
Burt Young
Buster Keaton
C. Thomas Howell
C.J. Goldman
Ça?da? Gerçekli
Çagri Türkkan
Caitriona Balfe
Caity Lotz
Callan McAuliffe
Callan Mulvey
Callum Blue
Callum Davison
Calum McFarlane
Calvin Reeder
Cam Gigandet
Cameron Crowe
Cameron Diaz
Cameron Mathison
Cameron McLean
Cameron Monaghan
Cameron Powrie
Cameron Richardson
Camilla Belle
Camille Chalons
Camille Coduri
Can Y?lmaz
Cansel Elçin
Cara Delevingne
Carey Mulligan
Carey Toner
Carl Reiner
Carl Weathers
Carla Belver
Carla Gugino
Carlo Rambaldi
Carlos Alazraqui
Carlos Areces
Carlos Bardem
Carly Chaikin
Carly Schroeder
Carmen Ejogo
Carmen Electra
Carmen Ungureanu 
Carol Banker
Carol Kane
Carole Brana
Carole Skinner
Caroline Barclay
Caroline Goodall
Caroline Kaspar
Caroline Munro
Carolyn Tapp
Carrie Fisher
Carrie Preston
Carrie-Anne Moss
Carryl Lynn
Cary Elwes
Cary Grant
