50 Cent
Jay Hernandez
Jay Koch
Jay Lavender
Jay O. Sanders
Jay Shuster
Jay W. Yowler
Jayma Mays
Jayme Knox
Jayson Blair
Jean Dujardin
Jean Gillmore
Jean Reno
Jean Rupert
Jean Simmons
Jean-Claude Van Damme
Jean-Luc Godard
Jean-Marc Barr
Jeanne Moreau
Jeanne Tripplehorn
Jean-Paul Belmondo
Jean-Pierre Léaud
Jed Brophy
Jeff Bridges
Jeff Castle
Jeff Daniels
Jeff Fahey
Jeff Garlin
Jeff Goldblum
Jeff Gomillion
Jeff Renfroe
Jeffrey Dean Morgan
Jeffrey DeMunn
Jeffrey Donovan
Jeffrey Greeley
Jeffrey Hunter
Jeffrey Nicholas Brown
Jeffrey Tambor
Jeffrey Wright
Jelena Sopic
Jena Malone
Jenn Murray
Jenna Dewan
Jenna Fischer
Jennie Linden
Jennifer Aniston
Jennifer Beals
Jennifer Blatt
Jennifer Carpenter
Jennifer Connelly
Jennifer Dolce
Jennifer Ehle
Jennifer Esposito
Jennifer Garner
Jennifer Jason Leigh
Jennifer Lawrence
Jennifer Lopez
Jennifer Love Hewitt
Jennifer Lynne Johnson
Jennifer Morrison
Jennifer Saunders
Jennifer Tilly
Jenny Agutter
Jenny Slate
Jensen Ackles
Jeon Kuk-Hwan
Jeremiah Hu
Jeremy Applegate
Jeremy Irons
Jeremy Irvine
Jeremy Northam
Jeremy Renner
Jeremy Sisto
Jeremy Spears
Jeri Ryan
Jerry Lewis
Jesper Christensen
Jesper Inglis
Jessalyn Gilsig
Jesse Bradford
Jesse Corti
Jesse De Luna
Jesse Eisenberg
Jesse L. Martin
Jesse Williams
Jessica Abo
Jessica Alba
Jessica Barth
Jessica Brown Findlay
Jessica Chastain
Jessica De Gouw
Jessica Lange
Jessica Lucas
Jessica Szohr
Jessica Tandy
Jessy Hodges
Jesús Franco
Jet Li
Jewel Staite
Jie Cheng
Jill Haworth
Jim Broadbent
Jim Carrey
Jim Caviezel
Jim Cissell
Jim Norton
Jim O'Heir
Jim Parsons
Jim Sturgess
Jim Van Wyck
Jimmie Horan
Jimmy Bennett
Jimmy Fallon
Jimmy O. Yang
Joan Allen
Joan Cusack
Joan Plowright
Joan Severance
Joanna Cassidy
Joanna 'JoJo' Levesque
Joanne Dru
Joanne Samuel
Joaquin Phoenix
Jochen Strodthoff
Jodelle Ferland
Jodi Bianca Wise
Jodi Lyn O'Keefe
Jodie Foster
Joe Anderson
Joe Del Monte
Joe Don Baker
Joe Heinen
Joe Illing
Joe Kennard
Joe La Loggia
Joe Lafferty
Joe Mantegna
Joe Morton
Joe Pantoliano
Joel Coen
Joel Edgerton
Joel Kinnaman
Joel McHale
Joel Torre
Joely Richardson
Joey King
Joey Lauren Adams
Johann Kunz
Johanna Busse
Johannes Oliver Hamm
Johannes Sternagel
John Abrham
John Albano
John Amodeo
John Ashton
John Boyega
John C. McGinley
John C. Reilly
John Candy
John Carpenter
John Carroll
John Cassavetes
John Cena
John Chavanga
John Cho
John Cleese
John Corbett
John Cusack
John Davis
John Debney
John DeLuca
John Francis Daley
John Frimann Rasmussen
John G. Lenic
John Gallagher Jr.
John Gatins
John Glover
John Goodman
John Hannah
John Harms
John Hart
John Hawkes
John Heard
John Hora
John Hughes
John Hurt
John Jolliffe
John Krasinski
John Leguizamo
John Logan
John Malkovich
John McIntire
John Musker
John Ortiz
John Pingayak
John Pollard 
John Rhys-Davies
John Roesch
John Saxon
John T. Ford
John Tarr
John Travolta
John Turturro
John Venables
John Wayne
John Wells
John Woo
Johnny Depp
Johnny Galecki
Johnny Knoxville
Johnny Messner
Johnny Ruddell
Johnny Simmons
Jon Berg
Jon Bernthal
Jon Bon Jovi
Jon Favreau
Jon Hamm
Jon Lovitz
Jon Marson
Jon Polito
Jon St. Elwood
Jon Voight
Jonah Hill
Jonah Lees
Jonas Hamon
Jonathan Banks
Jonathan Burkhart
Jonathan Chan-Pensley
Jonathan Frakes
Jonathan Hyde
Jonathan Jackson
Jonathan O'Connell
Jonathan Pryce
Jonathan Rhys Meyers
Jonathan Rudak
Jonathan Tucker
Jonny Lee Miller
Joo Fürst
Jordana Brewster
Jordi Mollà
Jorge Garcia
Jorma Taccone
Jörn Poetzl
Jose Ludlow
José María Ramos
Jose Pablo Cantillo
Josef Pepa Nos
Josef Reidinger
Josef Sommer
Joseph Cotten
Joseph Fiennes
Joseph Gilgun
Joseph Gordon-Levitt
Joseph Hacker
Joseph Michael Tenga
Joseph Morgan
Josh Bratman
Josh Brolin
Josh Charles
Josh Dallas
Josh Duhamel
Josh Gad
Josh Hartnett
Josh Helman
Josh Holloway
Josh Hutcherson
Josh Klausner
Josh Lucas
Josh Peck
Josh Stewart
Joshua Jackson
Juan Queseda
Judd Nelson
Jude Law
Judge Reinhold
Judi Dench
Judit Kuchta
Judith Sharp
Judy Cammer
Judy Davis
Judy Greer
Judy Norton Taylor
Julia Louis-Dreyfus
Julia Ormond
Julia Roberts
Julia Stiles
Julian Morris
Julian Sands
Julianna Margulies
Julianne Hough
Julianne Moore
Julianne Nicholson
Julie Andrews
Julie Christie
Julie Claire
Julie Delpy
Julie Hagerty
Julie K. Smith
Julie Kavner
Julie Strain
Julie Walters
Julie-Marie Parmentier
Juliette Binoche
Juliette Lewis
Juman Malouf
Jun Ji-hyun
Jun Kunimura
Juno Temple
Jürgen Prochnow
Jüri Lumiste
Justin Bartha
Justin Chatwin
Justin Hynous
Justin Lin
Justin Long
Justin Marks
Justin Ngy Tran
Justin Theroux
Justin Timberlake
Justine Baker
Jye Skinn
Kachina Dechert
Kad Merad
Kaley Cuoco
Kaneo Ikeda
Kang-ho Song
Kanji Tsuda
Kappei Yamaguchi
Kareena Kapoor
Karen Allen
Karen Gillan
Karen Rasch
Kari Hatfield
Kari Wahlgren
Kari Wuhrer
Karin Dor
Karin Duseva
Karl Glusman
Karl J. Weschta
Karl Urban
Karl-Dietmar Möller-Naß
Karola Storr
Kasia Kowalczyk
Kasumi Arimura
Kat Dennings
Katarina Vasilissa
Kate Beckinsale
Kate Bosworth
Kate Forbes
Kate Glover
Kate Hudson
Kate Mara
Kate McKinnon
Kate Nauta
Kate Walsh
Kate Winslet
Kate-Lynn Hocking
Katharine Hepburn
Katharine Isabelle
Katharine Ross
Katherine C. Hughes
Katherine Heigl
Katherine McNamara
Katherine Waterston
Katheryn Winnick
Kathleen Barr
Kathleen Turner
Kathryn Beaumont
Kathryn Hahn
Kathy Burke
Katie Cassidy
Katie Holmes
Katie Wallack
Katja Herbers
Katrin Cartlidge
Katrina Bowden
Katy Mixon
Katya Gardener
Katya Gardner
Kaya Scodelario
Keanu Reeves
Keegan Connor Tracy
Keegan-Michael Key
Keenan Wynn
Keiko Yokozawa
Keir Dullea
Keir O'Donnell
Keira Knightley
Keith Carradine
Keith David
Keith Hall 
Keith Lyle
Keith Rodger
Keke Palmer
Kellan Lutz
Kelli Garner
Kelly Brook
Kelly Cronin
Kelly Fu
Kelly Hu
Kelly Kilgour
Kelly LeBrock
Kelly Macdonald
Kelly Marshall
Kelly Preston
Kelly Reilly
Kelly Rowan
Kelsey Grammer
Ken Daurio
Ken Jeong
Ken Kaufman
Ken Kesey
Ken Watanabe
Kenichiro Yamane
Kenji Oates
Kenneth Branagh
Kenneth MacKenzie
Kenneth Post
Kenny Wong Tak-Ban
Kent Smith
Kerem F?rt?na
Keri Russell
Kerry Fox
Kerry Washington
Kevin Bacon
Kevin Chapman
Kevin Conroy
Kevin Corrigan
Kevin Costner
Kevin Durand
Kevin Feige
Kevin Gudahl
Kevin Hart
Kevin Hickman
Kevin James
Kevin Jenkins
Kevin Kline
Kevin McKidd
Kevin Michael Richardson
Kevin Peter Hall
Kevin Pollak
Kevin Rankin
Kevin Slone
Kevin Smith
Kevin Sorbo
Kevin Spacey
Kevin Sussman
Kevin T. Hahn
Ki Hong Lee
Kia Jam
Kiefer Sutherland
Kier Lehman
Kieran Culkin
Kiersey Clemons
Kiku Vidal
Kim Adams
Kim Basinger
Kim Cattrall
Kim Chiu
Kim McCraw
Kim Roberts
Kimberly Quinn
Kimio Kataoka
Kip Pardue
Kirk Douglas
Kirsten Dunst
Kirsty Whalley
Kit Harington
Kitty Winn
Klara Kristin
Klaus Spinnler
Kodi Smit-McPhee
Konstantin Kryukov
Kris Lyer
Kristanna Loken
Kristen Bell
Kristen Connolly
Kristen McGary
Kristen Schaal
Kristen Stewart
Kristen Wiig
Kristin Chenoweth
Kristin Davis
Kristin Scott Thomas
Kristin Ward
Kristofer Hivju
Kristoffer Joner
Kristopher Van Varenberg
Kriz David
Krysta Carter
Krysten Ritter
Kunal Nayyar
Kurt Russell
Kurt Van Der Basch
Kurtwood Smith
Kyle Cassie
Kyle Chandler
Kyle Gallner
Kyle Red Silverstein
Kyôko Yashiro
Kyra Sedgwick
Kyrre Haugen Sydness
Lacey Chabert
Laetitia de Fombelle
Laini Thompson
Lai-Si Fernandez
Lake Bell
Lale Mansur
Lambert Wilson
Lana Wachowski
Lance Henriksen
Lance Reddick
Lane Garrison
Lara Flynn Boyle
Larenz Tate
Larisa Golubkina
Larry Miller
Lars Green
Lars Ranthe
Lars von Trier
LaTonya Borsay
Laura Angelica Simon
Laura Dern
Laura Fraser
Laura Gemser
Laura Haddock
Laura Harring
Laura Linney
Laura Macias
Laura Weiss
Laure Lepelley-Monbillard
Lauren Bacall
Lauren Cohan
Lauren German
Lauren Graham
Lauren Holly
Laurence Fishburne
Laurence Naismith
Laurence Olivier
Laurent Cantet
Laurie Holden
Laurie Metcalf
Lawrence Kasdan
Lawrence King
Lazar Stojanovi?
Léa Seydoux
Lea Thompson
Lee Byung-hun
Lee Chae-dam
Lee Chung-Ah
Lee Eun-mi
Lee Evans
Lee Gilmore
Lee J. Cobb
Lee Ji-Eun
Lee Kagan
Lee Marvin
Lee Pace
Lee Remick
Lee Strasberg
Leelee Sobieski
Leigh Whannell
Len Wiseman
Lena Dunham
Lena Endre
Lena Headey
Lena Olin
Lena Yada
Lene Seested
Lennie James
Leonard Engelman
Leonard Nimoy
Leonardo DiCaprio
Leonie Benesch
Les Fresholtz
Lesley-Ann Brandt
Lesley-Anne Down
Leslie Cheung
Leslie Easterbrook
Leslie Mann
Leslie Merrill
Leslie Nielsen
Leslie Phillips
Lester Speight
Leticia Stella
Leung Kar-Yan
LeVar Burton
Leven Rambin
Lewis Davie
Lexa Doig
Li Bingbing
Li Ming
Liam Cunningham
Liam Hemsworth
Liam McIntyre
Liam Neeson
Liana Liberato
Liev Schreiber
Lila Baumann
Lili Taylor
Lily Collins
Lily James
Lily Rabe
Lin Shaye
Linc Hand
Linda Blair
Linda Bowley
Linda Cardellini
Linda Fiorentino
Linda Hamilton
Linda Hunt
Linda Jones
Lindsay Duncan
Lindsay Lohan
Lindsey Broad
Lionel Heath
Lisa Ann Walter
Lisa Cipriani
Lisa Eichhorn
Lisa Fozzati
Lisa Goldberg
Lisa Kudrow
Liu Feng-Chao
Liv Tyler
Liz Brixius
Lizzy Caplan
LL Cool J
Lobo Chan
Logan Lerman
Lois Chiles
Lolita Davidovich
Lora Milligan
Lorenza Izzo
Loretta Devine
Lorin McCraley
Lorraine Bracco
Lorraine Gary
Lou Diamond Phillips
Lou Ferrigno
Lou Jacobi
Louis C.K.
Louis de Funès
Louis Joseph Comeau IV
Louise Fletcher
Luca Vannella
Lucas Black
Lucas Prisor
Lucy Fry
Lucy Hale
Lucy Lawless
Lucy Liu
Ludacris
Ludivine Sagnier
Luis Carballar
Luis Guzmán
Luis Prieto
Luis Tolentino
Lukas Haas
Luke Bracey
Luke Doolan
Luke Evans
Luke Goss
Luke Passmore
Luke Wilson
Lumas Hamilton Jr.
Lydia Hull
Lynn Collins
Lysette Anthony
Lyudmila Saveleva
M. Emmet Walsh
M.C. Gainey
Maas Bronkhuyzen
Macaulay Culkin
Mackenzie Crook
Mackenzie Davis
Mackenzie Foy
Maddalena Ischiale
Madeleine Stowe
Madeline Zima
Madonna
Mads Mikkelsen
Mae Whitman
Magda Vášáryová 
Magdalena Mielcarz
Maggie Cheung
Maggie Grace
Maggie Gyllenhaal
Maggie Q
Maggie Siff
Maggie Smith
Mahershala Ali
Maika Monroe
Maisie Williams
Maki Horikita
Malcolm McDowell
Malin Åkerman
Mamie Gummer
Mana Ashida
Mandy Moore
Mandy Patinkin
Mansur Hamud
Manu Bennett
Marcelle Monthil
Marci T. House
Marcia Gay Harden
Marcia Lucas
Margaret Lindsay
Margaret Sixel
Margo Martindale
Margot Kidder
Margot Robbie
Mari Natsuki
Mari Yaguchi
Maria Bello
Maria Ehrich
María Isabel Díaz
Maria Järvenhelmi
Maria Mladenoza
Maria Pitillo
María Valverde
Maria Yi
Marianne Koch
Mariano Fernandez
Maribel Verdú
Marie Avgeropoulos
Marie-Josée Croze
Marie-Laure Valla
Marijana Jankovic
Marilyn Monroe
Marina Sirtis
Marina Zasimova
Marino Kulas
Mario Casas
Mario Van Peebles
Marion Cotillard
Marion Kolsby
Marisa Lamonica
Marisa Tomei
Mariska Hargitay
Marjorie Durand
Mark Aaron Wagner
Mark Boone Junior
Mark Cyre
Mark Dacascos
Mark Damiano II
Mark Dodson
Mark Gatiss
Mark Hamill
Mark Harmon
Mark Hoppus
Mark Meily
Mark O'Kane
Mark Ruffalo
Mark Rylance
Mark Strong
Mark Vargo
Mark Wahlberg
Mark Zsifkovits
Markus Napier
Marlies Schacherl
Marlon Brando
Marlon Wayans
Martijn Kuiper
Martin C. Heselov
Martin Elfand
Martin Freeman
Martin Henderson
Martin Hesselink
Martin Houtman
Martin Kove
Martin Landau
Martin Lawrence
Martin Scorsese
Martin Sheen
Martin Short
Martin Stoltz
Martina Burgetová
Martine Audrain
Marton Csokas
Mary Bailey
Mary Elizabeth Mastrantonio
Mary Elizabeth Winstead
Mary Lynn Rajskub
Mary McDonnell
Mary Rodgers
Mary Steenburgen
Maryam d'Abo
Mary-Louise Parker
Masahiro Kobayashi
Masam Holden
Masami Nagasawa
Masanori Tomotake
Masayoshi Haneda
Mathéo Boisselier
Mathias Melloul
Mathieu Kassovitz
Matt Bomer
Matt Cohen
Matt Craven
Matt Damon
Matt Dillon
Matt Frewer
Matt Hookings
Matt LeBlanc
Matt McCoy
Matt Moore
Matt Schulze
Matt Smith
Matthew Broderick
Matthew Daddario
Matthew Dylan Roberts
Matthew Fox
Matthew Goode
Matthew Gray Gubler
Matthew Lillard
Matthew McConaughey
Matthew Mercer
Matthew Modine
Matthew Perry
Matthew Wigg
Matthias Schoenaerts
Maura Tierney
Maureen O'Hara
Maurizio Silvi
Max Greene
Max Greenfield
Max Kasch
Max Martini
Max von Sydow
Maya Rudolph
Mayim Bialik
Maysie Hoy
Mayumi Tanaka
Meat Loaf
Meg Foster
Meg Kubota
Meg Ryan
Megan Boone
Megan Follows
Megan Fox
Megan Park
Meghan Ivey
Meghan Ory
Mekhi Phifer
Mel Blanc
Mel Brooks
Mel Gibson
Mel Kutbay
Mélanie Laurent
Melanie Lynskey
Melanie Stone
Melinda Clarke
Melinda Dillon
Melinda Kramer
Melis Babada?
Melissa Benoist
Melissa Leo
Melissa McCarthy
Melissa O'Neil
Melissa Sweet
Melody Anderson
Melora Hardin
Melvil Poupaud
Mena Suvari
Mercedes Griffeth
Mertcan Bahar
Meryl Streep
Method Man
Mi Dan
Mia Goth
Mia Kirshner
Mía Maestro
Mia Park
Mia Wasikowska
Michael B. Jordan
Michael Baber
Michael Badalucco
Michael Bay
Michael Biehn
Michael Bittins
Michael C. Hall
Michael Caine
Michael Chiklis
Michael Clarke Duncan
Michaël Cohen
Michael Constantine
Michael Dorn
Michael Dougherty
Michael Douglas
Michael Dudikoff
Michael E. Goldman
Michael Ealy
Michael Eklund
Michael Fassbender
Michael Forest
Michael Fox
Michael Gambon
Michael Imperioli
Michael J. Fox
Michael Jai White
Michael Jiron
Michael Keaton
Michael Kelly
Michael Kenneth Williams
Michael Landgrebe
Michael Madsen
Michael Mann
Michael Moore
Michael Murphy
Michael Nyqvist
Michael Parks
Michael Peña
Michael Pitt
Michael Preston
Michael Rapaport
Michael Raymond-James
Michael Rennie
Michael Rispoli
Michael Rooker
Michael Rosenbaum
Michael Shamberg
Michael Shannon
Michael Sheen
Michael Stuhlbarg
Michael T. Daigle
Michael Weatherly
Michael Winslow
Michael York
Michael Zeller
Michaela Cottrell
Michel Pagès
Michele Placido
Michele Sharp
Michelle Duncan
Michelle Hopper
Michelle Monaghan
Michelle Nolden
Michelle Pfeiffer
Michelle Rodriguez
Michelle Trachtenberg
Michelle Williams
Michelle Yeoh
Michiel Huisman
Michiyo Murase
Mick Foley
Mick Jagger
Mickey Rooney
Mickey Rourke
Mihály Ráday
Mike Colter
Mike Epps
Mike Judge
Mike Larocca
Mike Laubach
Mike Martindale
Mike Myers
Mike Newell
Mike Parker
Mike Salazar
Mike Scanlon
Mikhail Vrubel
Mila Kunis
Miles Teller
Miley Cyrus
Milla Jovovich
Milo Ventimiglia
Mina Ghousi
Minami Takayama
Ming-Na Wen
Minka Kelly
Minnie Driver
Mira Sorvino
Miranda Otto
Miranda Richardson
Mireille Enos
Mirel Ahmed
Misha Kuznetsov
Miss Ming
Missi Pyle
Mitch Pileggi
Moa Khouas
Mohmed Hedi Bahri
Molly C. Quinn
Molly Kunz
Molly Ringwald
Molly Shannon
Monica Bellucci
Monica Rene'e Anderson
Monika Jolly
Montaño Rain
Moon Bloodgood
Moonyeenn Lee
Morena Baccarin
Morgan Fairchild
Morgan Freeman
Moritz Bleibtreu
Mos Def
Mr. T
Muhammad Ali
Muqbal Al Kazemi
Murray Hamilton
Muzaffer Tema
Mykelti Williamson
Mylène Jampanoï
Nakamura Shid? II
Namgoong Min
Nancy Allen
Nancy Fish
Nancy Gomez
Nancy Osborne
Naomi Watts
Naomie Harris
Nasser Saleh
Nastassja Kinski
Nat Wolff
Natacha Antiglio
Natalia Rodríguez
Natalie Dormer
Natalie Fabry
Natalie Hamer
Natalie Martinez
Natalie Portman
Natalya Rudakova
Natasha Calis
Natasha Henstridge
Natasha Lyonne
Natasha Richardson
Natassia Malthe
Nate Selee
Nate Torrence
Nathalie Emmanuel
Nathalie Kelley
Nathalie Lucia Hahnen
Nathan Duval
Nathan Fillion
Nathan Vann Walton
Naveen Andrews
Neal H. Moritz
Neal McDonough
Neel Sethi
Neil Patrick Harris
Neve Campbell
Neve McIntosh
New Thanya
Nia Long
Nia Peeples
Nicholas Braun
Nicholas D'Agosto
Nicholas Hoult
Nicholas Ritz
Nicholas Tse
Nick Adams
Nick Cassavetes
Nick Chinlund
Nick Epper
Nick Frost
Nick Garrido
Nick Hurran
Nick Nolte
Nick Offerman
Nick Robinson
Nick Swardson
Nick Zano
Nico Salvato
Nicola Peltz
Nicola Posener
Nicolas Cage
Nicolas Winding Refn
Nicole Ann St. Hill
Nicole Ari Parker
Nicole Fiscella
Nicole Janine
Nicole Kidman
Nicole Sandweg
Nicole Sullivan
Niels Arestrup
Nihat Ziyalan
Nikita Tatarenkov
Nikki Reed
Nikolaj Coster-Waldau
Nikolaj Lie Kaas
Nikolo Juban
Nina Dobrev
Nina Lauren
Nina Paskowitz
Ninja
Nino
Noah Hathaway
Noah Schnapp
Noah Taylor
Nonso Anozie
Noomi Rapace
Nora Arnezeder
Nora-Jane Noone
Norihei Miki
Norman Dorme
Norman Reedus
Oana Pellea
Octavia Spencer
Oded Fehr
Odessa Sykes
Oh Dal-Su
Olaf Mierau
Ólafur Darri Ólafsson
Oleg Fomin
Olga Kurylenko
Oliver Platt
Oliver Simon
Oliver Stone
Olivia Colman
Olivia Cooke
Olivia de Havilland
Olivia Hussey
Olivia Luccardi
Olivia Munn
Olivia Taylor Dudley
Olivia Thirlby
Olivia Wilde
Olivia Williams
Olivier Blais
Olivier Xavier
Omar Metwally
Omar Shargawi
Omar Sy
Ömer Gökhan Erkut
Öner Erkan
Orest Sushko
Orhan Alkan
Orlando Bloom
Orlando Jones
Ornella Marcucci
Ornella Muti
Orson Welles
Oscar Isaac
O'Shea Jackson Jr.
Osman Çall?
Otto Kruger
Owen Wilson
Ozan Diyar
Özcan Deniz
Öznur Kula
Pablo Schreiber
Pablo Scola
Page Leong
Pål Sverre Valheim Hagen
Pam Grier
Pamela Anderson
Pamela Betts
Paolo Bonacelli
Parker Posey
Parris Goebel
Pascal Jaubert
Pascal Persiano
Pat Hingle
Patricia Arquette
Patricia Clarkson
Patricia Vecchio
Patrick Bauchau
Patrick Dempsey
Patrick Finley
Patrick Fugit
Patrick Houlihan
Patrick J. Adams
Patrick Macnee
Patrick McGoohan
Patrick Stewart
Patrick Swayze
Patrick Wilson
Patton Oswalt
Paul Anderson
Paul Bettany
Paul Butler
Paul Caslin
Paul Courtenay Hyu
Paul Dano
Paul Eagler
Paul Feig
Paul Geffre
Paul Giamatti
Paul Greengrass
Paul Guilfoyle
Paul Haggis
Paul Henreid
Paul Laugier
Paul Lombardi
Paul McGuigan
Paul Michael Lévesque
Paul Mojica
Paul Nakauchi
Paul Newman
Paul Reubens
Paul Rhys
Paul Rudd
Paul Scofield
Paul Shersby
Paul Terry
Paul W.S. Anderson
Paul Walker
Paul Wesley
Paula Patton
Pauley Perrette
Paulo Goulart
Pauly Shore
Paz de la Huerta
Paz Vega
Pedro Almodóvar
Peggy McClellan
Penelope Ann Miller
Penélope Cruz
Penn Badgley
Pepa Pedroche
Per Nyström
Pete Docter
Pete Postlethwaite
Peter Boyle
Peter Callan
Peter Capaldi
Peter Coyote
Peter Craig
Peter Cushing
Peter Dinklage
Peter Falk
Peter Friedman
Peter G. Reed
Peter Gerety
Peter Jackson
Peter Lapres
Peter Lorre
Peter MacNicol
Peter Sarsgaard
Peter Stormare
Peter Ustinov
Peter Weller
Peter Wiseman
Phattaranan Ruamchai
Phil Dodds
Phil Harris
Phil Hartman
Philip Arditti
Philip Baker Hall
Philip Seymour Hoffman
Philip Shelby
Philip Spurvey
Phoebe Cates
Phoebe Tonkin
Phyllis Smith
Pierce Brosnan
Pierre Magny
Pierre Peyrichout
Pierre Smit
Piper Perabo
Pippa Wanganeen
Po Pao Pee
Polly Shannon
Polly Walker
Pollyanna McIntosh
Portia de Rossi
Portia Doubleday
Predrag Bambic
Queen Latifah
Quentin Tarantino
Quinn McColgan
Ra?it Çelikezer
Rachael Harris
Rachael Leigh Cook
Rachel Bilson
Rachel Griffiths
Rachel McAdams
Rachel Nave
Rachel Ward
Rachel Weisz
Rachelle Lefevre
Rada Rassimov
Radha Mitchell
Rae Dawn Chong
Raf Vallone
Raffey Cassidy
Rain
Ralph Bellamy
Ralph Fiennes
Ralph Macchio
Rami Malek
Ramon Fontserè
Rana Morrison
Randall Duk Kim
Randolf Menzel
Randon Bopp
Randy Couture
Randy Smith
Raquel Welch
Rashida Jones
Rasool J'Han
Raúl Juliá
Raúl Monge
Raven-Symoné
Ray Liotta
Ray Lovelock
Ray Milland
Ray Olubowale
Ray Romano
Ray Stevenson
Ray Winstone
Ray Wise
Raymond Burr
Raymond Ochoa
Rebecca De Mornay
Rebecca Ferguson
Rebecca Hall
Rebecca Romijn
Rebel Wilson
Recep Aktu?
Recep Ekicigil
Red Coffee
Reese Witherspoon
Regina Hall
Reginald VelJohnson
Reiko Nanjo
Reiner Bajo
Rene Russo
Renee Ehrlich Kalfus
Renee Rea
Renée Zellweger
Renzo Sabelli
Rhona Mitra
Rhonda Fleming
Rhys Darby
Rhys Ifans
Ricardo Reis
Rich Lee
Richard Abate
Richard Armitage
Richard Attenborough
Richard Benjamin
Richard Burton
Richard Chamberlain
Richard Conte
Richard Crenna
Richard Dreyfuss
Richard E. Grant
Richard George
Richard Gere
Richard Harmon
Richard Harris
Richard Haynes
Richard Jenkins
Richard Jordan
Richard Kind
Richard Klotz
Richard Linklater
Richard Madden
Richard Press
Richard Riehle
Richard Roundtree
Richard Roxburgh
Rick Hoffman
Rick Jaffa
Rick Moranis
Rick Okon
Rick Stratton
Rick Yune
Ricky Gervais
Rider Strong
Ridley Scott
Rihanna
Riley Fearon
Riley Halden
Rip Torn
Rita Zohar
River Phoenix
Riz Ahmed
RJ Mitte
RK Vijay Murugan
Rob Cohen
Rob Pearlstein
Rob Schneider
Robb Foglia
Robbie Coltrane
Robby Benson
Robert Carlyle
Robert Carradine
Robert Cartwright
Robert De Niro
Robert Downey Jr.
Robert Duvall
Robert Englund
Robert Forster
Robert Fyfe
Robert Kazinsky
Robert Knepper
Robert Lin
Robert Loggia
Robert Mark Kamen
Robert Mitchum
Robert Nardone
Robert Patrick
Robert Pattinson
Robert Persichetti Jr.
Robert Phalen
Robert Redford
Robert Renderos
Robert Ryan
Robert Sahakyants
Robert Vaughn
Robert Werden
Robert-James Bova
Roberto Benigni
Roberto Orci
Robin Shou
Robin Tunney
Robin Williams
Robin Wright
Rock Hudson
Rod Taylor
Roddy McDowall
Roddy Piper
Roddy Stayton
Rodrigo Santoro
Roger Moore
Roger Parrott
Roger Rose
Roland Emmerich
Roland Savoye
Rolf Lassgård
Roman Polanski
Roman Rossa
Romola Garai
Ron Eldard
Ron Howard
Ron Kidd
Ron Licari
Ron Livingston
Ron Perlman
Ronald G. Smith
Ronald R. Reiss
Ronda Rousey
Roo Maurice
Rooney Mara
Rory Culkin
Ros Hubbard
Rosalind Russell
Rosamund Pike
Rosanna Arquette
Rosario Dawson
Rose Byrne
Rose Leslie
Rose McGowan
Rose McIver
Roselyn Sánchez
Rosemarie DeWitt
Rosemary Brandenburg
Rosie Huntington-Whiteley
Ross Langley
Rowan Atkinson
Rowley Irlam
Roy Jacobsen
Roy Scheider
Roy Stewart
Roz Abrams
Rufus Sewell
Rumi Hiiragi
Ruocheng Ying
Rupal Pujara
Rupert Evans
Rupert Everett
Rupert Friend
Rupert Grint
Rupert Penry-Jones
Russell Brand
Russell Crowe
Russell J. Friedman
Rutger Hauer
Ruth Negga
Ruth Roman
Ruth Wilson
Ryan Buggle
Ryan Gosling
Ryan Guzman
Ryan Harris
Ryan Hurst
Ryan Newman
Ryan O'Neal
Ryan Phillippe
Ryan Potter
Ryan Reynolds
Ryan Robbins
Ryann Shane
Ryanne Duzich
RZA
S. Epatha Merkerson
Saba Tümer
Sabrina Ferilli
Saburo Date
Sacha Baron Cohen
Sachiko Iijima
Sahajak Boonthanakit
Saïd Taghmaoui
Saif Ali Khan
Salih Bademci
Sally Field
Sally Hawkins
Salma Hayek
Salman Khan
Salvatore Po
Salvatore Schiera
Sam Claflin
Sam Elliott
Sam Esmail
Sam Hazeldine
Sam Heughan
Sam Mendes
Sam Neill
Sam Raimi
Sam Riley
Sam Rockwell
Sam Shepard
Sam Worthington
Samantha Jo
Samantha Knox-Johnston
Samantha Morton
Samet A?ao?lu
Sammo Hung
Samuel L. Jackson
Samuel Le Bihan
Samuel Mak
Samuel Theis
Sándor Bolla
Sandra Bullock
Sandra Oh
Sandy Cochrane
Sanjay Mishra
Santiago Segura
Saoirse Ronan
Saori Hara
Sapox Colisium
Sara Matarazzo
Sara Paxton
Sarah Bolger
Sarah Butler
Sarah E. McMillan
Sarah Foret
Sarah Gadon
Sarah Hyland
Sarah Jane Morris
Sarah Jessica Parker
Sarah Kathryn Schmitt
Sarah McArthur
Sarah Michelle Gellar
Sarah Minnich
Sarah Paulson
Sarah Polley
Sarah Rafferty
Sarah Robinson
Sarah Roemer
Sarah Silverman
Sarah Snook
Sarah Wayne Callies
Saralisa Volm
Sasha Alexander
Sasha Pieterse
Saško Kocev
Scarlett Johansson
Scatman Crothers
Scoot McNairy
Scott Adkins
Scott Adsit
Scott Bakula
Scott Benes
Scott E. Anderson
Scott Eastwood
Scott Eddo
Scott Frank
Scott Glenn
Scott M. Davids
Scott Mednick
Scott Speedman
Scott Steindorff
Scott Stewart
Scott Weinger
Scout Taylor-Compton
Seamus Hughes
